14,0.8|14,0
14,0|14,0
16,0|16,0
n,0|n,0
14,0|14,0
14,0|14,0
16,0|16,0
n,0|n,0
14,0|14,0
14,0|14,0
16,0|16,0
n,0|n,0
n,0|14,0
n,0|14,0
18,0|18,0
19,0|n,0
12,0|12,0
13,0|13,0
n,0|n,0
n,0|n,0
14,0|14,0
14,0|14,0
16,0|16,0
n,0|n,0
12,0|12,0
13,0|13,0
n,0|n,0
n,0|n,0
14,0|14,0
14,0|14,0
16,0|10,0
n,0|n,0
12,0|12,0
13,0|13,0
n,0|n,0
n,0|n,0
14,0|14,0
14,0|14,0
16,0|10,0
n,0|n,0
12,0|12,0
13,0|13,0
n,0|n,0
n,0|n,0
14,0|14,0
14,0|14,0
24,0|24,0
n,0|n,0
14,0|14,0
0,0|0,0
15,0|15,0
0,0|0,0
14,0|14,0
0,0|0,0
15,0|15,0
7,0|7,0
14,0|14,0
0,0|0,0
15,0|15,0
26,0|4,0
7,0|7,0
n,0|n,0
16,0|16,0
n,0|n,0
14,0|14,0
0,0|0,0
15,0|15,0
26,0|26,0
14,0|14,0
6,0|6,0
15,0|15,0
7,0|7,0
14,0|14,0
0,0|0,0
15,0|15,0
26,0|4,0
7,0|7,0
n,0|n,0
16,0|16,0
n,0|n,0
14,0|14,0
0,0|0,0
15,0|15,0
16,0|26,0
14,0|14,0
6,0|6,0
15,0|15,0
7,0|7,0
14,0|14,0
0,0|0,0
15,0|15,0
0,0|0,0
7,0|7,0
n,0|n,0
13,0|31,0
n,0|n,0
14,0|14,0
0,0|0,0
15,0|15,0
0,0|0,0
14,0|14,0
0,0|0,0
15,0|15,0
7,0|7,0
14,0|14,0
0,0|0,0
15,0|15,0
26,0|4,0
7,0|7,0
n,0|n,0
16,0|16,0
n,0|n,0
20,0|20,0
20,0|20,0
20,0|20,0
n,0|n,0
n,0|n,0
13,0|13,0
0,0|0,0
13,0|13,0
0,0|0,0
10,0|10,0
n,0|n,0
10,0|10,0
20,0|20,0
10,0|10,0
n,0|n,0
0,0|0,0
20,0|20,0
20,0|20,0
20,0|24,0
n,0|n,0
n,0|n,0
13,0|13,0
0,0|0,0
13,0|15,0
0,0|0,0
10,0|10,0
n,0|n,0
10,0|26,0
20,0|20,0
10,0|10,0
n,0|n,0
0,0|0,0
20,0|20,0
20,0|20,0
20,0|24,0
n,0|n,0
n,0|n,0
13,0|13,0
0,0|0,0
15,0|15,0
0,0|0,0
10,0|10,0
n,0|n,0
26,0|26,0
20,0|20,0
14,0|14,0
n,0|n,0
0,0|0,0
20,0|20,0
20,0|20,0
20,0|24,0
n,0|n,0
n,0|n,0
13,0|13,0
0,0|0,0
13,0|13,0
0,0|0,0
10,0|10,0
n,0|n,0
10,0|10,0
20,0|20,0
10,0|10,0
n,0|n,0
0,0|0,0
28,0|28,0
n,0|n,0
28,0|28,0
n,0|n,0
29,0|29,0
30,0|30,0
n,0|n,0
28,0|28,0
n,0|n,0
28,0|28,0
n,0|n,0
29,0|29,0
30,0|30,0
28,0|28,0
n,0|n,0
28,0|28,0
n,0|n,0
28,0|28,0
n,0|n,0
29,0|29,0
30,0|30,0
n,0|n,0
28,0|28,0
n,0|n,0
28,0|28,0
n,0|n,0
29,0|29,0
30,0|30,0
28,0|28,0
n,0|n,0
28,0|28,0
26,0|26,0
28,0|28,0
n,0|n,0
29,0|29,0
30,0|30,0
n,0|n,0
28,0|28,0
5,0|10,0
28,0|28,0
n,0|n,0
29,0|29,0
30,0|30,0
28,0|28,0
n,0|n,0
28,0|28,0
n,0|7,0
28,0|28,0
n,0|n,0
29,0|29,0
30,0|30,0
n,0|n,0
28,0|28,0
1,0|1,0
28,0|28,0
n,0|n,0
29,0|29,0
30,0|30,0
28,0|28,0
n,0|5,0
n,0|n,0
n,0|n,0
n,0|n,0
n,0|n,0
n,0|n,0
n,0|n,0
19,0.4|19,0
1,0.8|1,0
3,0|3,0
2,0|2,0
0,0|0,0
8,0|8,0
24,0|11,0
0,0|0,0
8,0|8,0
12,0|12,0
13,0|13,0
16,0|16,0
31,0|31,0
12,0|12,0
13,0|13,0
16,0|16,0
31,0|31,0
1,0|1,0
3,0|3,0
2,0|2,0
0,0|0,0
8,0|8,0
24,0|11,0
0,0|0,0
8,0|8,0
12,0|12,0
13,0|13,0
16,0|16,0
31,0|31,0
12,0|12,0
13,0|13,0
16,0|16,0
31,0|31,0
1,0|1,0
3,0|3,0
2,0|2,0
0,0|0,0
8,0|8,0
24,0|11,0
0,0|0,0
8,0|8,0
12,0|12,0
13,0|13,0
16,0|16,0
31,0|31,0
12,0|12,0
13,0|13,0
16,0|16,0
31,0|31,0
24,0|11,0
24,0|11,0
24,0|11,0
24,0|11,0
1,0|1,0
24,0|11,0
24,0|11,0
24,0|24,0
1,0|1,0
3,0|3,0
2,0|2,0
0,0|0,0
8,0|8,0
24,0|11,0
0,0|0,0
8,0|8,0
12,0|12,0
13,0|13,0
16,0|16,0
31,0|31,0
12,0|12,0
13,0|13,0
16,0|16,0
31,0|31,0
1,0|26,0
3,0|27,0
2,0|7,0
0,0|n,0
8,0|8,0
24,0|22,0
0,0|n,0
8,0|8,0
12,0|4,0
13,0|13,0
16,0|16,0
31,0|7,0
12,0|n,0
13,0|13,0
16,0|16,0
31,0|29,0
24,0|11,0
24,0|11,0
24,0|11,0
24,0|11,0
1,0|1,0
24,0|11,0
24,0|11,0
24,0|24,0
